Well_Name,Depth,GR,RESD,RESS,RHOB,NEUTRON,Vshale,PHIE,Sw,PERM
Well-01,2295,96.375,5.6838,14.3974,2.5426,0.2627,0.6185,0.0154,1,0.0003
Well-01,2295.5,97.25,4.7691,14.5299,2.5416,0.2681,0.636,0.015,1,0.0003
Well-01,2296,97.625,3.8,14.0017,2.5518,0.2671,0.6509,0.0088,1,0
Well-01,2296.5,84.625,2.9174,12.773,2.5714,0.2522,0.6346,0.0001,1,0
Well-01,2297,67.8125,2.2008,11.4447,2.5636,0.2538,0.4473,0.0541,0.7308,0.257
Well-01,2297.5,47.7188,1.6652,9.905,2.5252,0.2649,0.2891,0.1046,0.4601,14.3676
Well-01,2298,31.7812,1.3208,8.7208,2.4803,0.2617,0.1636,0.1437,0.3896,99.7682
Well-01,2298.5,21.6562,1.0964,7.8671,2.4075,0.2525,0.0839,0.1709,0.3806,286.2512
Well-01,2299,20.7812,0.9555,7.3852,2.3264,0.2572,0.077,0.2025,0.3837,807.5823
Well-01,2299.5,26.4531,0.8571,7.0161,2.28,0.2594,0.1166,0.2143,0.417,1076.7491
Well-01,2300,29.5938,0.782,6.8562,2.2621,0.2624,0.1385,0.2187,0.4383,1171.8438
Well-01,2300.5,30.7969,0.7304,6.7435,2.276,0.2625,0.1554,0.2102,0.436,996.0503
Well-01,2301,28.0781,0.7022,6.5805,2.2918,0.2618,0.1345,0.2074,0.4371,932.5483
Well-01,2301.5,27.3281,0.6797,6.2783,2.2946,0.2515,0.1066,0.2075,0.4389,936.8005
Well-01,2302,25.2031,0.6597,5.9317,2.2823,0.2429,0.0767,0.2146,0.4544,1084.2582
Well-01,2302.5,24.9531,0.6277,5.2355,2.2808,0.2329,0.0712,0.2127,0.4999,1045.4545
Well-01,2303,23.7031,0.586,4.2466,2.2784,0.2409,0.0707,0.2166,0.5743,1125.4532
Well-01,2303.5,23.7031,0.562,4.1936,2.2868,0.2546,0.076,0.2172,0.8575,1138.4731
Well-01,2304,24.8281,0.573,3.2933,2.291,0.2713,0.0823,0.2203,0.8688,1207.2262
Well-01,2304.5,23.875,0.5908,3.3161,2.2922,0.2796,0.0788,0.2234,0.8417,1276.9952
Well-01,2305,23.3281,0.5887,3.1504,2.2975,0.2772,0.0619,0.2235,0.7245,1280.9257
Well-01,2305.5,21.1875,0.5737,3.353,2.3008,0.2678,0.0451,0.222,0.5693,1245.9463
Well-01,2306,18.5625,0.5546,3.2714,2.3008,0.2582,0.0389,0.2198,0.4815,1194.3834
Well-01,2306.5,15.8281,0.5586,3.888,2.2944,0.2557,0.0355,0.2219,0.5039,1243.8586
Well-01,2307,12.6719,0.592,3.306,2.2854,0.2595,0.0132,0.2308,0.5618,1460.8348
Well-01,2307.5,13,0.6194,2.8782,2.2841,0.2626,0.0157,0.232,0.7117,1490.4933
Well-01,2308,12.1953,0.6217,2.564,2.286,0.2634,0.0094,0.2326,0.9167,1507.5623
Well-01,2308.5,13.0312,0.591,2.0927,2.2923,0.2639,0.016,0.2292,1,1419.528
Well-01,2309,11.5469,0.5579,1.6451,2.2971,0.2642,0.0043,0.2296,1,1429.4567
Well-01,2309.5,11.7734,0.5431,1.3782,2.2941,0.2655,0.0061,0.2309,1,1462.8678
Well-01,2310,12.7344,0.5528,1.4502,2.2895,0.2695,0.0135,0.2327,1,1509.6307
Well-01,2310.5,15.9141,0.5732,1.3355,2.2834,0.2711,0.036,0.2315,1,1478.6416
Well-01,2311,17.75,0.6032,1.3502,2.283,0.2632,0.0059,0.2343,1,1554.5676
Well-01,2311.5,17.375,0.6247,1.5929,2.2868,0.2494,0.0299,0.2237,1,1284.1898
Well-01,2312,19.625,0.6407,2.1109,2.2884,0.2432,0.0458,0.218,1,1154.8273
Well-01,2312.5,23.3125,0.6847,2.287,2.2871,0.252,0.0488,0.221,1,1223.0038
Well-01,2313,27.5625,0.7642,3.1223,2.288,0.2602,0.0774,0.2184,1,1165.3689
Well-01,2313.5,26.5,0.8665,4.3074,2.2935,0.259,0.0838,0.2146,1,1083.3658
Well-01,2314,26.4531,1.0047,5.2926,2.3035,0.2483,0.0836,0.2067,1,915.442
Well-01,2314.5,30.625,1.1823,5.7871,2.293,0.2362,0.1036,0.2027,1,810.8398
Well-01,2315,38.9375,1.3567,5.7128,2.2873,0.2372,0.1478,0.1969,1,681.0258
Well-01,2315.5,50.4375,1.518,5.7004,2.2155,0.299,0.2721,0.168,1,257.9103
Well-01,2316,64.3125,1.7044,4.9986,2.0909,0.4087,0.3846,0.1956,1,652.7589
Well-01,2316.5,82.3125,1.9213,4.1963,2.0091,0.4949,0.6286,0.1683,1,260.7435
Well-01,2317,104.8125,2.2453,3.5979,2.0426,0.4904,0.9045,0.0846,1,3.944
Well-01,2317.5,119.5625,2.5632,3.2867,2.0826,0.4857,1.0331,0.0247,1,0.0022
Well-01,2318,118.0625,2.6985,3.013,2.1208,0.4703,1.0007,0.0238,1,0.0019
Well-01,2318.5,105.5625,2.721,3.0076,2.1871,0.4639,0.9288,0.0494,1,0
Well-01,2319,101.6875,2.7592,3.0713,2.229,0.4647,0.908,0.052,1,0
Well-01,2319.5,100.375,2.8313,3.2359,2.2664,0.4435,0.898,0.0341,1,0
Well-01,2320,99.1875,3.0152,3.5041,2.3131,0.4314,0.8605,0.0001,1,0
Well-01,2320.5,96.125,3.3082,3.8365,2.3489,0.437,0.8919,0.0391,1,0
Well-01,2321,99.3125,3.6385,4.1986,2.3592,0.4357,0.9216,0.022,1,0
Well-01,2321.5,100.4375,3.9908,4.6877,2.3663,0.4342,0.903,0.03,1,0
Well-01,2322,95.875,4.4067,5.2758,2.3621,0.4325,0.9193,0.0245,1,0
Well-01,2322.5,94.125,4.7708,5.8907,2.3675,0.4276,0.8887,0.0306,1,0
Well-01,2323,92.75,5.1127,6.6053,2.3914,0.4167,0.8099,0.0464,1,0
Well-01,2323.5,93.625,5.4783,7.2148,2.4071,0.4052,0.8031,0.0385,1,0
Well-01,2324,93.625,5.7846,7.6797,2.4133,0.3928,0.8216,0.0222,1,0
Well-01,2324.5,98.5,6.0319,7.9583,2.4343,0.3772,0.8417,0.0001,1,0
Well-01,2325,97.375,6.2222,8.064,2.4664,0.3592,0.8192,0.0001,1,0
Well-01,2325.5,91.125,6.352,8.1346,2.4808,0.3469,0.7523,0.0108,1,0
Well-01,2326,88.1875,6.4412,8.2065,2.4871,0.3374,0.728,0.0072,1,0
